Anno_Incidente,Codice Istat provincia,Provincia,Codice Istat comune,Comune,Numero incidenti,Totale morti,Totale Feriti
2011,15,MI,15027,BOLLATE,135,0,181
2011,19,CR,19036,CREMONA,419,3,546
2011,16,BG,16091,DALMINE,105,1,133
2011,15,MI,15168,PARABIAGO,84,0,114
2011,108,MB,108028,LISSONE,146,0,193
2011,15,MI,15220,TREZZANO SUL NAVIGLIO,81,0,114
2011,108,MB,108023,DESIO,117,0,165
2011,17,BS,17113,MONTICHIARI,99,5,137
2011,15,MI,15209,SESTO SAN GIOVANNI,230,2,316
2011,108,MB,108039,SEREGNO,198,1,265
2011,108,MB,108027,LIMBIATE,96,2,124
2011,12,VA,12026,BUSTO ARSIZIO,343,4,477
2011,15,MI,15081,COLOGNO MONZESE,168,0,210
2011,13,CO,13075,COMO,463,5,606
2011,15,MI,15032,BRESSO,75,1,93
2011,15,MI,15146,MILANO,11604,53,15593
2011,15,MI,15087,CORNAREDO,56,0,69
2011,13,CO,13143,MARIANO COMENSE,69,0,104
2011,16,BG,16198,SERIATE,112,2,150
2011,15,MI,15130,MAGENTA,75,2,107
2011,15,MI,15074,CESANO BOSCONE,63,1,91
2011,15,MI,15171,PESCHIERA BORROMEO,69,1,93
2011,15,MI,15175,PIOLTELLO,58,1,83
2011,15,MI,15192,SAN DONATO MILANESE,100,1,129
2011,20,MN,20065,SUZZARA,81,1,118
2011,108,MB,108040,SEVESO,56,0,75
2011,14,SO,14061,SONDRIO,69,1,101
2011,12,VA,12070,GALLARATE,295,3,402
2012,15,MI,15220,TREZZANO SUL NAVIGLIO,82,1,109
2012,20,MN,20030,MANTOVA,331,3,438
2012,108,MB,108033,MONZA,693,7,880
2012,108,MB,108035,NOVA MILANESE,61,0,78
2012,108,MB,108024,GIUSSANO,104,0,134
2012,14,SO,14061,SONDRIO,75,3,116
2012,15,MI,15175,PIOLTELLO,69,1,91
2012,15,MI,15002,ABBIATEGRASSO,96,2,109
2012,17,BS,17113,MONTICHIARI,91,8,125
2012,17,BS,17096,LUMEZZANE,36,0,42
2012,20,MN,20065,SUZZARA,75,3,90
2012,97,LC,97042,LECCO,229,0,293
2012,98,LO,98031,LODI,197,3,246
2012,108,MB,108028,LISSONE,159,3,222
2012,108,MB,108040,SEVESO,41,0,53
2012,108,MB,108019,CESANO MADERNO,121,0,191
2012,12,VA,12070,GALLARATE,272,2,383
2012,12,VA,12026,BUSTO ARSIZIO,353,3,500
2012,15,MI,15070,CERNUSCO SUL NAVIGLIO,104,5,131
2012,15,MI,15205,SEGRATE,164,2,195
2012,16,BG,16024,BERGAMO,951,3,1231
2012,12,VA,12119,SARONNO,177,0,225
2012,13,CO,13041,CANTU',129,1,196
2012,15,MI,15192,SAN DONATO MILANESE,138,3,193
2012,15,MI,15036,BUCCINASCO,69,1,86
2012,15,MI,15116,LAINATE,83,1,117
2012,15,MI,15074,CESANO BOSCONE,57,2,67
2012,15,MI,15032,BRESSO,75,0,89
2012,17,BS,17029,BRESCIA,898,9,1280
2012,19,CR,19036,CREMONA,442,5,564
2012,20,MN,20017,CASTIGLIONE DELLE STIVIERE,85,3,115
2012,108,MB,108012,BRUGHERIO,98,0,134
2012,12,VA,12040,CASSANO MAGNAGO,83,1,109
2012,15,MI,15182,RHO,282,3,398
2012,15,MI,15195,SAN GIULIANO MILANESE,165,2,246
2012,16,BG,16198,SERIATE,90,1,126
2012,18,PV,18177,VIGEVANO,261,2,351
2012,18,PV,18110,PAVIA,405,2,575
2012,108,MB,108027,LIMBIATE,86,1,117
2012,13,CO,13075,COMO,482,4,639
2012,15,MI,15146,MILANO,10758,61,14255
2012,15,MI,15081,COLOGNO MONZESE,152,0,218
2012,15,MI,15189,ROZZANO,169,0,237
2012,15,MI,15166,PADERNO DUGNANO,189,2,254
2012,15,MI,15105,GARBAGNATE MILANESE,79,1,109
2012,15,MI,15157,NOVATE MILANESE,62,0,74
2012,15,MI,15206,SENAGO,27,1,42
2012,108,MB,108050,VIMERCATE,121,1,199
2012,108,MB,108030,MEDA,14,0,22
2012,12,VA,12133,VARESE,300,4,409
2012,15,MI,15086,CORMANO,106,3,161
2012,15,MI,15118,LEGNANO,241,1,336
2012,15,MI,15171,PESCHIERA BORROMEO,77,0,105
2012,15,MI,15209,SESTO SAN GIOVANNI,168,5,208
2012,16,BG,16219,TREVIGLIO,143,0,208
2012,16,BG,16091,DALMINE,112,0,141
2012,18,PV,18182,VOGHERA,189,7,265
2012,19,CR,19035,CREMA,154,1,210
2012,108,MB,108039,SEREGNO,194,2,267
2012,13,CO,13143,MARIANO COMENSE,88,3,115
2012,15,MI,15077,CINISELLO BALSAMO,338,2,449
2012,15,MI,15093,CORSICO,153,0,203
2012,15,MI,15027,BOLLATE,118,1,149
2012,15,MI,15168,PARABIAGO,75,0,97
2012,15,MI,15130,MAGENTA,61,0,76
2012,17,BS,17067,DESENZANO DEL GARDA,129,3,175
2012,108,MB,108023,DESIO,71,0,101
2012,108,MB,108034,MUGGIO',63,2,82
2013,15,MI,15086,CORMANO,81,0,116
2013,13,CO,13075,COMO,414,2,555
2013,15,MI,15087,CORNAREDO,61,0,74
2013,15,MI,15171,PESCHIERA BORROMEO,51,0,78
2013,15,MI,15220,TREZZANO SUL NAVIGLIO,68,1,98
2013,17,BS,17113,MONTICHIARI,81,1,122
2013,18,PV,18177,VIGEVANO,243,1,341
