ID_PDV,Provincia,ISTAT,COMUNE,TITOLARE,C.C.,INDIRIZZO,INSEGNA,Settoremerc.non alim.,Sup.alim.,Sup.non alim.,Sup.totale
5793,MN,20003,Bagnolo San Vito,FASHION DISTRICT MANTOVA S.R.L.,SI,LOCALITA BASSE DI MEZZO,OUTLET FACTORY,,0.00,6664.00,10
201153,BS,17062,Corte Franca,ESSELUNGA SPA,SI,"VIA ROMA,117",ESSELUNGA CORTE FRANCA,,2600.00,1772.00,10
14456,BG,16024,Bergamo,OVS S.P.A.,,VIA TIRABOSCHI 53,,A,1147.00,2803.00,10
4887,PV,18177,Vigevano,ESSELUNGA SPA,SI,VIA S. MARIA ANG. VIA COMMERCIO,ESSELUNGA,,2135.00,2865.00,10
5115,BS,17165,Roncadelle,B.B.C. S.R.L.,,S.S. 11 - LOC. MANDOLOSSA,OBI SIC,D,0.00,2990.00,10
3485,MN,20017,Castiglione delle Stiviere,SOCIETA' 1985/3,SI,"VIA MAZZINI , 109",CENTRO BENACO,,2700.00,4360.00,10
10888,BS,17195,Verolanuova,PROGETTO R.E.M. SRL,SI,"VIA J,F,KENNEDY LOCALITA' BETTOLINO",VEROLACENTER,,4000.00,7700.00,10
2406,BS,17133,Palazzolo sull'Oglio,ITALMARK SPA,SI,VIA MONS. PICCINELLI,CENTRO COMMERCIALE ITALMARK,,2900.00,3740.00,10
461,PV,18095,Montebello della Battaglia,IPER MONTEBELLO SPA,SI,VIA ING A MAZZA,CENTRO COMMERCIALE MONTEBELLO,,7150.00,18242.00,10
13392,BS,17092,Lonato del Garda,IPER MONTEBELLO SPA,,"VIA MANTOVA, 38",,D,0.00,3800.00,10
8851,MN,20002,Asola,ODOLINI ITALO,SI,VIALE VITTORIA/VIA MONTELLO,FOODMARK,,3200.00,2231.00,10
9486,BS,17029,Brescia,FRECCIA ROSSA SHOPPING CENTRE SRL,SI,VIALE ITALIA 31,FRECCIA ROSSA,,1850.00,13122.00,10
5113,BS,17163,Rodengo Saiano,(FRANCIACORTA RETAIL S.R.L.DEGI FRANCIA S.R.L.),SI,LOCALITA MOIE,OUTLET VILLAGE FRANCIACORTA,,0.00,24551.00,10
13116,BS,17181,Sonico,PASQUINI GIOVANNI PAOLO,,VIA NAZIONALE 36,MOBILMARKET PASQUINI SRL,C,0.00,1638.00,10
12883,PV,18049,Cigognola,CENTRO COMMERCIALE OLTREPO' SRL,,"LOC. SAN GIUSEPPE, 6",,,5200.00,2400.00,10
6252,PV,18109,Parona,BENNET SPA,SI,"VIA CASE SPARSE PER VIGEVANO, 4",CENTRO COMMERCIALE PARONA,,4091.00,17694.00,10
2172,BS,17092,Lonato del Garda,GUEMA MACCHINE SRL,,"VIA MAPELLA, 2/4",,D,0.00,2950.00,10
15123,MN,20017,Castiglione delle Stiviere,TOSANO ANERIO,SI,"VIA CAVOUR, 57",SUPERMERCATI TOSANO CEREA SRL,,5000.00,2050.00,10
624,BS,17029,Brescia,COIN SRL,,"CORSO MAGENTA, 2",COIN,,249.00,4498.00,10
6078,BS,17170,Salo',LA GALLERIA SRL - SMAFIN S.P.A.,SI,"V. MONTESSORI, 1",CENTRO COMM.LE DUE PINI,,765.00,1904.00,10
5189,BS,17143,Pisogne,LANZINI ARREDAMENTI SNC,,"VIA PROVINCIALE, 18",LANZINI ESPERTI IN ARREDAMENTO,C,0.00,3000.00,10
7705,MN,20030,Mantova,S.I.B. SPA,,VIA GALIANI 1,,D,0.00,5700.00,10
8836,SO,14063,Talamona,SMA SPA,SI,"VIA STELVIO, 2/B",CENTRO COMMERCIALE IPERSIMPLY,,1500.00,2000.00,10
2501,BG,16089,Curno,LEROY MERLIN ITALIA SRL,,"VIA ROTA, 60",LEROY MERLIN,D,0.00,10099.00,10
10598,BS,17029,Brescia,CISALFA SPORT SPA,,VIA DALMAZIA 90,,,180.00,3419.00,10
200637,BS,17069,Erbusco,LE PORTE FRANCHE SOC. CONS. A R.L.,SI,VIA ROVATO N. 44,LE PORTE FRANCHE,,2804.00,21696.00,10
13498,MN,20021,Curtatone,COMET SPA,,VIA COSTITUZIONE 27 A,COMET,B,0.00,4998.00,10
10221,BG,16207,Stezzano,ALTACERRO S.R.L.,SI,"VIA GUZZANICA, 62,64",AUT. N. 2/2018 LE DUE TORRI,,3060.00,20730.00,10
14803,BG,16120,Grumello del Monte,ITALMARK IC SPA,,V.ROMA 94,ITALMARK,,1550.00,549.00,10
