,titleType,primaryTitle,startYear,runtimeMinutes,genres,PolloRating
169059,movie,The Chinese Room,2008,\N,"Mystery,Sci-Fi,Thriller",0.1714593932776905
176397,movie,75 Degrees West,2021,56,"Adventure,Sci-Fi",0.1714593932776905
176787,movie,Kamen Rider Zero-One Others: Kamen Rider Vulcan & Valkyrie,2021,47,"Action,Sci-Fi",0.1714593932776905
39623,movie,The Girl from Starship Venus,1975,82,"Comedy,Horror,Sci-Fi",0.17145784141435
23899,movie,Monster from Green Hell,1957,71,"Horror,Sci-Fi",0.17143142509242423
120350,movie,Visceral Matter,1997,48,Sci-Fi,0.17136748382108344
44086,movie,Deathquake,1980,126,"Action,Drama,Sci-Fi",0.1713621943489454
195616,movie,Invasion of Alien Bikini,2011,75,"Comedy,Romance,Sci-Fi",0.17134649303022534
21414,movie,Monster from the Ocean Floor,1954,64,"Horror,Sci-Fi",0.17129478861144948
9140,movie,The Mystery of the Ghastly Face,1935,88,"Horror,Mystery,Sci-Fi",0.17127034712322756
22282,movie,Panther Girl of the Kongo,1955,167,"Action,Sci-Fi",0.17116470875768697
261529,movie,Antimarteria,2017,57,Sci-Fi,0.1711613447051144
268744,movie,Spider-Man: Rise of a Legacy,2018,\N,"Action,Sci-Fi",0.1711467422899023
90486,movie,Abra Cadabra,1983,84,"Animation,Fantasy,Sci-Fi",0.1711467422899023
100337,movie,Subterano,2003,91,"Horror,Sci-Fi",0.17114386787736394
162817,movie,Homeworld,2008,104,Sci-Fi,0.17112844248109293
277715,movie,The Adventure of A.R.I.: My Robot Friend,2020,89,"Family,Sci-Fi",0.1711175516177923
70317,movie,Psycho a Go Go,1965,85,"Crime,Horror,Sci-Fi",0.17107419522058162
142545,movie,The Sighting,2016,98,"Horror,Sci-Fi,Thriller",0.17095451105912046
250463,movie,Zvyozdniy vors,2012,115,"Comedy,Fantasy,Sci-Fi",0.17092754098167906
233145,movie,Muse,2015,109,"Drama,Sci-Fi,Thriller",0.17088233340344355
96423,movie,It Came from Somewhere Else,1988,89,"Comedy,Sci-Fi",0.17087660282286266
114939,movie,Gore from Outer Space,2001,85,"Comedy,Horror,Sci-Fi",0.17084004431380778
10851,movie,S.O.S. Tidal Wave,1939,62,"Crime,Sci-Fi",0.17083364217189065
164385,movie,"They Came from the Sky, I Saw Them!",2020,46,Sci-Fi,0.17083364217189065
227535,movie,MindGamers,2015,97,"Action,Sci-Fi,Thriller",0.17077793993767906
178035,movie,2050,2020,106,"Drama,Fantasy,Sci-Fi",0.1707631800119348
75213,movie,A spasso nel tempo - L'avventura continua,1997,95,"Adventure,Comedy,Sci-Fi",0.1707352347471519
234658,movie,Broken Darkness,2017,118,"Action,Drama,Sci-Fi",0.17067930753065885
64206,movie,Specimen,1996,85,Sci-Fi,0.1706737917946966
66361,movie,Abar,1977,102,"Action,Drama,Sci-Fi",0.1706737917946966
108059,movie,Twelve,2001,83,"Horror,Mystery,Sci-Fi",0.1706150296489677
163703,movie,Ultrainocencia,2020,95,"Comedy,Sci-Fi",0.1706150296489677
80861,movie,Ratrace,1999,60,Sci-Fi,0.17040392672224333
108767,movie,Droid,1988,70,"Adult,Sci-Fi",0.17038058037651702
29466,movie,Wrestling Women vs. the Aztec Mummy,1964,85,"Adventure,Horror,Sci-Fi",0.17037420481112134
84984,movie,Another Life,1992,100,"Drama,Sci-Fi",0.170368879101415
230997,movie,Disaster Playground,2015,67,"Documentary,Sci-Fi",0.17036293819729117
145943,movie,Tetsujin 28-gô: Hakuchû no zangetsu,2007,95,"Adventure,Animation,Sci-Fi",0.17036293819729117
261494,movie,Proyecto tiempo,2017,63,Sci-Fi,0.170350100187703
199976,movie,Terminal Legacy,2012,\N,"Action,Drama,Sci-Fi",0.17027495449547414
145081,movie,Firefly,2005,104,"Drama,Sci-Fi",0.1702636411515521
97969,movie,Robot Taekwon V,1976,76,"Action,Animation,Sci-Fi",0.17018390847760814
19064,movie,Mr Drake's Duck,1951,85,"Comedy,Sci-Fi",0.17018390847760814
54193,movie,Portion d'éternité,1988,96,"Drama,Sci-Fi",0.17014488253859164
44532,movie,Gamera: Super Monster,1980,92,"Action,Family,Sci-Fi",0.1701240290740454
242431,movie,Like Cattle Towards Glow,2015,93,"Drama,Sci-Fi",0.17012214405960757
49799,movie,The Aurora Encounter,1986,90,"Comedy,Drama,Sci-Fi",0.17011292194771482
153837,movie,Wu zui zhi cheng,2017,75,"Drama,Sci-Fi",0.17010001450853365
51662,movie,Phoenix the Warrior,1988,89,"Action,Sci-Fi",0.1700958665315635
149162,movie,The King of Fighters,2010,93,"Action,Sci-Fi,Thriller",0.17006821455786122
151315,movie,The Second Age of Aquarius,2022,81,"Comedy,Sci-Fi",0.1700616077525782
26403,movie,The Hell of Frankenstein,1960,103,"Horror,Sci-Fi",0.1700616077525782
48279,movie,Star Slammer,1986,86,"Action,Comedy,Sci-Fi",0.16999271439715874
82717,movie,8 Man,1992,83,"Action,Sci-Fi",0.16996421749084534
34014,movie,The Body Stealers,1969,91,"Horror,Mystery,Sci-Fi",0.1698307280939441
172330,movie,Blue Sunset,2021,65,"Horror,Sci-Fi",0.16982907079817636
213217,movie,Idõugrók - Sötét Jövõ,2012,102,Sci-Fi,0.16982656781467861
