,titleType,primaryTitle,startYear,runtimeMinutes,genres,PolloRating
172784,movie,Inception,2010,148,"Action,Adventure,Sci-Fi",0.8722117637175042
69803,movie,The Matrix,1999,136,"Action,Sci-Fi",0.8504966771388166
141241,movie,Interstellar,2014,169,"Adventure,Drama,Sci-Fi",0.8366715367585335
137194,movie,The Prestige,2006,130,"Drama,Mystery,Sci-Fi",0.8100910983284914
56940,movie,Terminator 2: Judgment Day,1991,137,"Action,Sci-Fi",0.8084660472909102
48682,movie,Back to the Future,1985,116,"Adventure,Comedy,Sci-Fi",0.803900007466812
233735,movie,Avengers: Infinity War,2018,149,"Action,Adventure,Sci-Fi",0.7869914202231585
42666,movie,Alien,1979,117,"Horror,Sci-Fi",0.7861977529615156
117391,movie,Eternal Sunshine of the Spotless Mind,2004,108,"Drama,Romance,Sci-Fi",0.7754727417376243
131445,movie,V for Vendetta,2005,132,"Action,Drama,Sci-Fi",0.7723864646647504
49760,movie,Aliens,1986,137,"Action,Adventure,Sci-Fi",0.7655758986617852
142532,movie,The Avengers,2012,143,"Action,Adventure,Sci-Fi",0.7649282857843415
35209,movie,A Clockwork Orange,1971,136,"Crime,Sci-Fi",0.7646900238397958
59141,movie,Jurassic Park,1993,127,"Action,Adventure,Sci-Fi",0.7643551817595845
173821,movie,Mad Max: Fury Road,2015,120,"Action,Adventure,Sci-Fi",0.7561759745241938
32302,movie,2001: A Space Odyssey,1968,149,"Adventure,Sci-Fi",0.7524882348615786
48475,movie,The Terminator,1984,107,"Action,Sci-Fi",0.7484270911784457
45713,movie,Blade Runner,1982,117,"Action,Drama,Sci-Fi",0.7420100950242347
223362,movie,Logan,2017,137,"Action,Drama,Sci-Fi",0.7406929129911655
122964,movie,Iron Man,2008,126,"Action,Adventure,Sci-Fi",0.7405861969474441
227910,movie,The Martian,2015,144,"Adventure,Drama,Sci-Fi",0.7382894967089161
98251,movie,Donnie Darko,2001,113,"Drama,Mystery,Sci-Fi",0.7352663901307167
212495,movie,Star Wars: Episode VII - The Force Awakens,2015,138,"Action,Adventure,Sci-Fi",0.7247559949403861
62812,movie,12 Monkeys,1995,129,"Mystery,Sci-Fi,Thriller",0.7215269676996449
193436,movie,Her,2013,126,"Drama,Romance,Sci-Fi",0.7202322225093615
196423,movie,X-Men: Days of Future Past,2014,132,"Action,Adventure,Sci-Fi",0.7199055220841858
195200,movie,Captain America: The Winter Soldier,2014,136,"Action,Adventure,Sci-Fi",0.7191464657000385
213268,movie,Arrival,2016,116,"Drama,Mystery,Sci-Fi",0.7177247739240039
156662,movie,District 9,2009,112,"Action,Sci-Fi,Thriller",0.7177040927793126
46428,movie,The Thing,1982,109,"Horror,Mystery,Sci-Fi",0.7176640659900753
187225,movie,Edge of Tomorrow,2014,113,"Action,Adventure,Sci-Fi",0.7166798208754873
225796,movie,Captain America: Civil War,2016,147,"Action,Adventure,Sci-Fi",0.7150095424147541
140312,movie,Star Trek,2009,127,"Action,Adventure,Sci-Fi",0.7115338484435278
177763,movie,Gravity,2013,91,"Action,Drama,Sci-Fi",0.7094776549796554
229181,movie,Rogue One: A Star Wars Story,2016,133,"Action,Adventure,Sci-Fi",0.7035064499033565
90033,movie,Children of Men,2006,109,"Action,Drama,Sci-Fi",0.7011502638613395
165274,movie,X-Men: First Class,2011,131,"Action,Adventure,Sci-Fi",0.7003073848625617
53417,movie,Back to the Future Part II,1989,108,"Adventure,Comedy,Sci-Fi",0.6950766538597667
45857,movie,E.T. the Extra-Terrestrial,1982,115,"Adventure,Family,Sci-Fi",0.6899529139590138
135754,movie,Ex Machina,2014,108,"Drama,Sci-Fi,Thriller",0.6871656951319342
174842,movie,Star Trek Into Darkness,2013,132,"Action,Adventure,Sci-Fi",0.6819928058176895
73343,movie,Spider-Man,2002,121,"Action,Adventure,Sci-Fi",0.6808785238044242
2736,movie,Metropolis,1927,153,"Drama,Sci-Fi",0.6774503441000356
168481,movie,Rise of the Planet of the Apes,2011,105,"Action,Drama,Sci-Fi",0.6773638495054322
159828,movie,Moon,2009,97,"Drama,Mystery,Sci-Fi",0.6748749405218784
210728,movie,Avengers: Age of Ultron,2015,141,"Action,Adventure,Sci-Fi",0.6740365098610278
108757,movie,The Butterfly Effect,2004,113,"Drama,Sci-Fi,Thriller",0.6733228263174651
64867,movie,The Fifth Element,1997,126,"Action,Adventure,Sci-Fi",0.671579860549325
113815,movie,Spider-Man 2,2004,127,"Action,Adventure,Sci-Fi",0.6695030038750858
206562,movie,Spider-Man: Homecoming,2017,133,"Action,Adventure,Sci-Fi",0.6691922403254856
173820,movie,The Hunger Games,2012,142,"Action,Adventure,Sci-Fi",0.668378400162399
258638,movie,A Quiet Place,2018,90,"Drama,Horror,Sci-Fi",0.6672587172398623
194364,movie,Black Panther,2018,134,"Action,Adventure,Sci-Fi",0.6670312909579867
64905,movie,Gattaca,1997,106,"Drama,Sci-Fi,Thriller",0.6659481890869321
124325,movie,Serenity,2005,119,"Action,Adventure,Sci-Fi",0.6649841175127646
165596,movie,Looper,2012,119,"Action,Drama,Sci-Fi",0.6638748979709731
208989,movie,PK,2014,153,"Comedy,Drama,Sci-Fi",0.6637928967268963
162134,movie,Limitless,2011,105,"Sci-Fi,Thriller",0.6634174243596398
108881,movie,X2: X-Men United,2003,134,"Action,Sci-Fi,Thriller",0.66153063355532
136934,movie,I Am Legend,2007,101,"Action,Drama,Sci-Fi",0.6588686606389718
65962,movie,X-Men,2000,104,"Action,Adventure,Sci-Fi",0.6580743414265655
108544,movie,28 Days Later...,2002,113,"Drama,Horror,Sci-Fi",0.6557605649054752
167236,movie,Iron Man 3,2013,130,"Action,Adventure,Sci-Fi",0.6550886023241433
32890,movie,Planet of the Apes,1968,112,"Adventure,Sci-Fi",0.6548398985523174
255803,movie,Spider-Man: Far from Home,2019,129,"Action,Adventure,Sci-Fi",0.6539816029483362
48728,movie,Brazil,1985,132,"Drama,Sci-Fi",0.6526027915461918
48023,movie,Nausicaä of the Valley of the Wind,1984,117,"Adventure,Animation,Sci-Fi",0.6512601871394516
54668,movie,Back to the Future Part III,1990,118,"Adventure,Comedy,Sci-Fi",0.6507263105554337
139489,movie,Man of Steel,2013,143,"Action,Adventure,Sci-Fi",0.6506786092888861
188976,movie,Ready Player One,2018,140,"Action,Adventure,Sci-Fi",0.6490861874745081
95509,movie,The Matrix Reloaded,2003,138,"Action,Sci-Fi",0.6474349027633015
43480,movie,Stalker,1979,162,"Drama,Sci-Fi",0.6465517409357275
259202,movie,Tenet,2020,150,"Action,Adventure,Sci-Fi",0.6456523696889312
55707,movie,Total Recall,1990,113,"Action,Adventure,Sci-Fi",0.6444442101169399
172580,movie,Cloud Atlas,2012,172,"Drama,Mystery,Sci-Fi",0.6409942613241264
156066,movie,Don't Look Up,2021,138,"Comedy,Drama,Sci-Fi",0.6403822070150954
51750,movie,RoboCop,1987,102,"Action,Crime,Sci-Fi",0.64029212812069
92447,movie,Unbreakable,2000,106,"Drama,Mystery,Sci-Fi",0.639006877214318
134360,movie,Captain America: The First Avenger,2011,124,"Action,Adventure,Sci-Fi",0.6363013920951758
96440,movie,Equilibrium,2002,107,"Action,Drama,Sci-Fi",0.6360209454428942
64726,movie,Contact,1997,150,"Drama,Mystery,Sci-Fi",0.6352592403415498
162675,movie,Iron Man 2,2010,124,"Action,Adventure,Sci-Fi",0.6347651073431737
64851,movie,Face/Off,1997,138,"Action,Crime,Sci-Fi",0.6338956696203195
118256,movie,"I, Robot",2004,115,"Action,Mystery,Sci-Fi",0.6337301459892684
129284,movie,Transformers,2007,144,"Action,Adventure,Sci-Fi",0.6327470424697156
177385,movie,Prometheus,2012,124,"Adventure,Mystery,Sci-Fi",0.6305786886632709
210813,movie,Predestination,2014,97,"Action,Drama,Sci-Fi",0.6280348882528074
40932,movie,Close Encounters of the Third Kind,1977,138,"Drama,Sci-Fi",0.627762727165359
63628,movie,Independence Day,1996,145,"Action,Adventure,Sci-Fi",0.627685995063032
64759,movie,Dark City,1998,100,"Fantasy,Mystery,Sci-Fi",0.627667919350625
144881,movie,The Amazing Spider-Man,2012,136,"Action,Adventure,Sci-Fi",0.6246827366941348
122624,movie,Jurassic World,2015,124,"Action,Adventure,Sci-Fi",0.6234899482233309
179395,movie,Oblivion,2013,124,"Action,Adventure,Sci-Fi",0.6233806036543907
45140,movie,The Road Warrior,1981,96,"Action,Adventure,Sci-Fi",0.6221192791589789
50041,movie,The Fly,1986,96,"Drama,Horror,Sci-Fi",0.6219297675272962
65526,movie,Starship Troopers,1997,129,"Action,Adventure,Sci-Fi",0.6217105781633364
36836,movie,Solaris,1972,167,"Drama,Mystery,Sci-Fi",0.6178871028637445
131767,movie,Alita: Battle Angel,2019,122,"Action,Adventure,Sci-Fi",0.6163548165556195
91313,movie,A.I. Artificial Intelligence,2001,146,"Drama,Sci-Fi",0.6155283684065916
257535,movie,Upgrade,2018,100,"Action,Sci-Fi,Thriller",0.6148838553605358
189961,movie,Snowpiercer,2013,126,"Action,Sci-Fi,Thriller",0.614273871653934
188345,movie,Pacific Rim,2013,131,"Action,Adventure,Sci-Fi",0.6125183998240727
171605,movie,Passengers,2016,116,"Drama,Romance,Sci-Fi",0.6106062936078562
151025,movie,Cloverfield,2008,85,"Action,Horror,Sci-Fi",0.6105971490049926
46391,movie,Star Trek II: The Wrath of Khan,1982,113,"Action,Adventure,Sci-Fi",0.6097338354199016
133709,movie,Deja Vu,2006,126,"Action,Crime,Sci-Fi",0.6075699123940838
233732,movie,Captain Marvel,2019,123,"Action,Adventure,Sci-Fi",0.607421714282951
104487,movie,K-PAX,2001,120,"Drama,Mystery,Sci-Fi",0.6070746820463571
6034,movie,King Kong,1933,100,"Adventure,Horror,Sci-Fi",0.6069515493479933
143454,movie,The Mist,2007,126,"Horror,Sci-Fi,Thriller",0.6063897752658557
224226,movie,X-Men: Apocalypse,2016,144,"Action,Adventure,Sci-Fi",0.6055721878489484
133058,movie,Sunshine,2007,107,"Sci-Fi,Thriller",0.6054572263235598
187948,movie,Super 8,2011,112,"Action,Mystery,Sci-Fi",0.6052408860277162
42503,movie,Superman,1978,143,"Action,Adventure,Sci-Fi",0.6041686276604795
170805,movie,Dredd,2012,95,"Action,Crime,Sci-Fi",0.6013503752780796
131291,movie,Real Steel,2011,127,"Action,Drama,Sci-Fi",0.6011606070308666
80998,movie,Galaxy Quest,1999,102,"Adventure,Comedy,Sci-Fi",0.601046525686629
65762,movie,Blade,1998,120,"Action,Horror,Sci-Fi",0.6008968129743203
193182,movie,The Maze Runner,2014,113,"Action,Mystery,Sci-Fi",0.5998699324555103
125056,movie,G.O.R.A.,2004,127,"Adventure,Comedy,Sci-Fi",0.5978747953373774
270740,movie,A Quiet Place Part II,2020,97,"Drama,Horror,Sci-Fi",0.5976440534151454
18785,movie,The Day the Earth Stood Still,1951,92,"Drama,Sci-Fi",0.5970499097370685
97252,movie,The Matrix Revolutions,2003,129,"Action,Sci-Fi",0.5957965281061997
70284,movie,Pitch Black,2000,109,"Action,Horror,Sci-Fi",0.594982220866113
229537,movie,Solo: A Star Wars Story,2018,135,"Action,Adventure,Sci-Fi",0.5942050339075959
176214,movie,The Wolverine,2013,126,"Action,Sci-Fi",0.5913624658051165
4720,movie,Frankenstein,1931,70,"Drama,Horror,Sci-Fi",0.5901354751980313
173363,movie,The Adjustment Bureau,2011,106,"Romance,Sci-Fi,Thriller",0.5901075705471414
189955,movie,Chronicle,2012,89,"Action,Drama,Sci-Fi",0.5890480138067515
107832,movie,Signs,2002,106,"Drama,Mystery,Sci-Fi",0.5887646623707099
215061,movie,Star Trek Beyond,2016,122,"Action,Adventure,Sci-Fi",0.5878257041451598
65748,movie,Armageddon,1998,151,"Action,Adventure,Sci-Fi",0.5873884463449135
123828,movie,X-Men: The Last Stand,2006,104,"Action,Adventure,Sci-Fi",0.5872545742692166
187400,movie,In Time,2011,109,"Action,Sci-Fi,Thriller",0.585609999506974
161851,movie,The World's End,2013,109,"Action,Comedy,Sci-Fi",0.5855584036002376
154238,movie,TRON: Legacy,2010,125,"Action,Adventure,Sci-Fi",0.5853531885797331
196268,movie,The Amazing Spider-Man 2,2014,142,"Action,Adventure,Sci-Fi",0.5850930974101732
140427,movie,The Incredible Hulk,2008,112,"Action,Adventure,Sci-Fi",0.5845041770905359
51841,movie,Spaceballs,1987,96,"Adventure,Comedy,Sci-Fi",0.5836846530405518
165273,movie,Venom,2018,112,"Action,Adventure,Sci-Fi",0.5834624774621513
126992,movie,The Island,2005,136,"Action,Sci-Fi,Thriller",0.5827455381440195
218714,movie,Batman v Superman: Dawn of Justice,2016,152,"Action,Adventure,Sci-Fi",0.5824233670571597
182005,movie,Melancholia,2011,135,"Drama,Sci-Fi",0.5817882962094733
198275,movie,The Hunger Games: Mockingjay - Part 1,2014,123,"Action,Adventure,Sci-Fi",0.5813318865034549
182485,movie,Elysium,2013,109,"Action,Drama,Sci-Fi",0.5808738798795723
270125,movie,The Platform,2019,94,"Horror,Sci-Fi,Thriller",0.5808552244441771
67736,movie,Open Your Eyes,1997,119,"Drama,Mystery,Sci-Fi",0.5807577086433738
153319,movie,Paul,2011,104,"Adventure,Comedy,Sci-Fi",0.5806872123145856
225591,movie,Black Widow,2021,134,"Action,Adventure,Sci-Fi",0.5797241677285782
134386,movie,X-Men Origins: Wolverine,2009,107,"Action,Sci-Fi",0.5772448806601522
61227,movie,Stargate,1994,116,"Action,Adventure,Sci-Fi",0.5757068272020477
53154,movie,They Live,1988,94,"Action,Horror,Sci-Fi",0.5728612695292449
127966,movie,War of the Worlds,2005,116,"Action,Adventure,Sci-Fi",0.5720953493721956
217344,movie,Coherence,2013,89,"Drama,Mystery,Sci-Fi",0.5720408654752154
169840,movie,Never Let Me Go,2010,103,"Drama,Romance,Sci-Fi",0.5712794525230644
44903,movie,Escape from New York,1981,99,"Action,Adventure,Sci-Fi",0.5695304605429462
188885,movie,Take Shelter,2011,121,"Drama,Sci-Fi,Thriller",0.5690037960381319
7110,movie,The Bride of Frankenstein,1935,75,"Drama,Horror,Sci-Fi",0.5688329892967878
65140,movie,The Lost World: Jurassic Park,1997,129,"Action,Adventure,Sci-Fi",0.5686776300633479
215915,movie,Bird Box,2018,124,"Horror,Sci-Fi",0.5674660857497983
217408,movie,Lucy,2014,89,"Action,Sci-Fi,Thriller",0.5673547095366366
242092,movie,Maanaadu,2021,147,"Action,Adventure,Sci-Fi",0.5667951543747326
61752,movie,The City of Lost Children,1995,112,"Drama,Fantasy,Sci-Fi",0.5652704474617366
114426,movie,The Day After Tomorrow,2004,124,"Action,Adventure,Sci-Fi",0.5632604671160608
22903,movie,Invasion of the Body Snatchers,1956,80,"Drama,Horror,Sci-Fi",0.5632422184280629
43181,movie,Mad Max,1979,88,"Action,Adventure,Sci-Fi",0.5630031055454736
131917,movie,Terminator Salvation,2009,115,"Action,Adventure,Sci-Fi",0.5628368005291542
141923,movie,Godzilla,2014,123,"Action,Adventure,Sci-Fi",0.5598533019747298
127281,movie,John Carter,2012,132,"Action,Adventure,Sci-Fi",0.5587931833756585
65898,movie,Resident Evil,2002,100,"Action,Horror,Sci-Fi",0.5582821971564886
198276,movie,The Hunger Games: Mockingjay - Part 2,2015,137,"Action,Adventure,Sci-Fi",0.557640506893462
84544,movie,Blade II,2002,117,"Action,Horror,Sci-Fi",0.5570390548317367
47494,movie,Videodrome,1983,87,"Horror,Sci-Fi,Thriller",0.5569608911494249
128598,movie,Spider-Man 3,2007,139,"Action,Adventure,Sci-Fi",0.5567749532523386
190927,movie,Ender's Game,2013,114,"Action,Adventure,Sci-Fi",0.5532430991324501
122957,movie,The Hitchhiker's Guide to the Galaxy,2005,109,"Adventure,Comedy,Sci-Fi",0.55305772430116
47514,movie,WarGames,1983,114,"Action,Drama,Sci-Fi",0.5529289811240992
259962,movie,Glass,2019,129,"Drama,Horror,Sci-Fi",0.5529100552197376
110154,movie,The Chronicles of Riddick,2004,119,"Action,Adventure,Sci-Fi",0.5509057720096379
246687,movie,Life,2017,104,"Horror,Sci-Fi,Thriller",0.5508923305295856
42106,movie,Invasion of the Body Snatchers,1978,115,"Horror,Sci-Fi",0.5506764369887757
82485,movie,Terminator 3: Rise of the Machines,2003,109,"Action,Sci-Fi",0.5496702218030997
91311,movie,2046,2004,129,"Drama,Romance,Sci-Fi",0.5487666071612759
65961,movie,The X Files,1998,121,"Drama,Mystery,Sci-Fi",0.5481235421249866
22794,movie,Forbidden Planet,1956,98,"Adventure,Sci-Fi",0.5481076515864257
56893,movie,Star Trek VI: The Undiscovered Country,1991,110,"Action,Adventure,Sci-Fi",0.5473489591052312
58803,movie,Demolition Man,1993,115,"Action,Sci-Fi,Thriller",0.5472173169691363
57151,movie,Alien³,1992,114,"Action,Horror,Sci-Fi",0.5458412898594893
82771,movie,Bicentennial Man,1999,132,"Comedy,Drama,Sci-Fi",0.5449973527535746
49412,movie,The Return of the Living Dead,1985,91,"Comedy,Horror,Sci-Fi",0.5440368599701961
160235,movie,Triangle,2009,99,"Fantasy,Mystery,Sci-Fi",0.5439123763894819
239363,movie,Bumblebee,2018,114,"Action,Adventure,Sci-Fi",0.5437156932058544
46744,movie,The Dead Zone,1983,103,"Drama,Horror,Sci-Fi",0.5431818663352725
208265,movie,Alien: Covenant,2017,122,"Horror,Sci-Fi,Thriller",0.542823853983576
174223,movie,Transformers: Dark of the Moon,2011,154,"Action,Adventure,Sci-Fi",0.5418433286804736
64842,movie,Event Horizon,1997,96,"Horror,Sci-Fi,Thriller",0.5395271588996192
26596,movie,The Time Machine,1960,103,"Adventure,Romance,Sci-Fi",0.5392761264529997
37401,movie,Ivan Vasilyevich Changes His Profession,1973,88,"Adventure,Comedy,Sci-Fi",0.5391334909056589
49396,movie,Re-Animator,1985,84,"Comedy,Horror,Sci-Fi",0.53898475990376
37628,movie,Fantastic Planet,1973,72,"Animation,Sci-Fi",0.5385280236117682
6013,movie,The Invisible Man,1933,71,"Horror,Sci-Fi",0.5377290712098953
48175,movie,1984,1984,113,"Drama,Sci-Fi",0.537493721349309
62733,movie,Strange Days,1995,145,"Crime,Drama,Sci-Fi",0.5372722402902904
128753,movie,District B13,2004,84,"Action,Crime,Sci-Fi",0.5362476339708175
183453,movie,Another Earth,2011,92,"Drama,Romance,Sci-Fi",0.53560884700527
170495,movie,Terminator Genisys,2015,126,"Action,Adventure,Sci-Fi",0.5341431963759168
63834,movie,Mars Attacks!,1996,106,"Comedy,Sci-Fi",0.5339679614607942
175871,movie,Predators,2010,107,"Action,Adventure,Sci-Fi",0.5337438148348972
51760,movie,The Running Man,1987,101,"Action,Sci-Fi,Thriller",0.5330401975124615
44462,movie,Superman II,1980,127,"Action,Adventure,Sci-Fi",0.5329322236862909
126009,movie,Primer,2004,77,"Drama,Sci-Fi,Thriller",0.5326020014430987
136972,movie,Timecrimes,2007,92,"Mystery,Sci-Fi,Thriller",0.5315132707378297
46455,movie,TRON,1982,96,"Action,Adventure,Sci-Fi",0.5306389513549586
133566,movie,Death Race,2008,105,"Action,Sci-Fi,Thriller",0.5304923922807226
65964,movie,eXistenZ,1999,97,"Horror,Mystery,Sci-Fi",0.5298865693947283
71827,movie,The Thirteenth Floor,1999,100,"Mystery,Sci-Fi,Thriller",0.5298209487484853
232434,movie,Maze Runner: The Scorch Trials,2015,131,"Action,Adventure,Sci-Fi",0.5292588457624314
209522,movie,Lucia,2013,135,"Drama,Sci-Fi,Thriller",0.5291902162802063
21257,movie,Godzilla,1954,96,"Horror,Sci-Fi",0.5290490825523838
125552,movie,Idiocracy,2006,84,"Adventure,Comedy,Sci-Fi",0.5273937111218046
166326,movie,A.R.O.G,2008,127,"Comedy,Fantasy,Sci-Fi",0.5259272510060509
37756,movie,Soylent Green,1973,97,"Crime,Mystery,Sci-Fi",0.524594212867775
162872,movie,Hot Tub Time Machine,2010,101,"Comedy,Sci-Fi",0.522610972780158
196107,movie,Batman v Superman: Dawn of Justice Ultimate Edition,2016,182,"Action,Adventure,Sci-Fi",0.5225450164038651
173441,movie,Total Recall,2012,118,"Action,Adventure,Sci-Fi",0.5221790833476511
176904,movie,Perfect Sense,2011,92,"Drama,Romance,Sci-Fi",0.521382074750447
137881,movie,Jumper,2008,88,"Action,Adventure,Sci-Fi",0.5213756959094463
241009,movie,Jurassic World: Fallen Kingdom,2018,128,"Action,Adventure,Sci-Fi",0.5211160726158521
64528,movie,Alien: Resurrection,1997,109,"Action,Horror,Sci-Fi",0.52075765990024
242548,movie,Godzilla vs. Kong,2021,113,"Action,Sci-Fi,Thriller",0.5205456345161651
175029,movie,Riddick,2013,119,"Action,Adventure,Sci-Fi",0.5204762144965047
30870,movie,Fahrenheit 451,1966,112,"Drama,Sci-Fi",0.5204023666774691
219869,movie,Hardcore Henry,2015,96,"Action,Adventure,Sci-Fi",0.5196003703669676
217751,movie,The Divergent Series: Insurgent,2015,119,"Action,Adventure,Sci-Fi",0.5189972361644428
122335,movie,The Manchurian Candidate,2004,129,"Drama,Mystery,Sci-Fi",0.5188514022437369
133039,movie,Knowing,2009,121,"Action,Mystery,Sci-Fi",0.5187246397354612
118972,movie,Superman Returns,2006,154,"Action,Adventure,Sci-Fi",0.5182506482186853
224724,movie,Finch,2021,115,"Adventure,Drama,Sci-Fi",0.5182194817129326
205437,movie,Transcendence,2014,119,"Action,Drama,Sci-Fi",0.5177951151068396
163100,movie,RoboCop,2014,117,"Action,Crime,Sci-Fi",0.5174842969268227
255609,movie,I Am Mother,2019,113,"Drama,Mystery,Sci-Fi",0.5171573171385077
218713,movie,The Purge: Anarchy,2014,103,"Action,Horror,Sci-Fi",0.5165828180005583
150649,movie,Transformers: Revenge of the Fallen,2009,149,"Action,Adventure,Sci-Fi",0.515612828921898
70002,movie,The Faculty,1998,104,"Horror,Mystery,Sci-Fi",0.5153301340197547
145904,movie,Surrogates,2009,89,"Action,Sci-Fi,Thriller",0.5148356765346505
237607,movie,Overlord,2018,110,"Action,Horror,Sci-Fi",0.5132454955953439
37748,movie,Sleeper,1973,89,"Comedy,Sci-Fi",0.5127349969012709
35089,movie,The Andromeda Strain,1971,131,"Mystery,Sci-Fi,Thriller",0.5127202574359628
37888,movie,Westworld,1973,88,"Action,Sci-Fi,Thriller",0.5118273902286402
47800,movie,Dune,1984,137,"Action,Adventure,Sci-Fi",0.5112010797842338
62887,movie,Waterworld,1995,135,"Action,Adventure,Sci-Fi",0.511148711855165
50223,movie,Kin-dza-dza!,1986,135,"Comedy,Drama,Sci-Fi",0.5111356960562706
178407,movie,I Am Number Four,2011,111,"Action,Adventure,Sci-Fi",0.5110681405044251
131180,movie,Resident Evil: Extinction,2007,94,"Action,Horror,Sci-Fi",0.5110619745027687
48429,movie,Starman,1984,115,"Romance,Sci-Fi",0.509811828452745
131307,movie,Daybreakers,2009,98,"Action,Horror,Sci-Fi",0.5096023993063014
31263,movie,Seconds,1966,106,"Sci-Fi,Thriller",0.5088687236919283
49662,movie,Weird Science,1985,94,"Comedy,Romance,Sci-Fi",0.5086095498831231
65787,movie,Deep Impact,1998,120,"Action,Drama,Sci-Fi",0.5072121446240738
131557,movie,The Giver,2014,97,"Drama,Romance,Sci-Fi",0.5062554716036043
257138,movie,Terminator: Dark Fate,2019,128,"Action,Adventure,Sci-Fi",0.5062140545042113
203606,movie,Self/less,2015,117,"Action,Mystery,Sci-Fi",0.5060261506809823
77145,movie,Jurassic Park III,2001,92,"Action,Adventure,Sci-Fi",0.5058358028712674
214883,movie,Midnight Special,2016,112,"Drama,Mystery,Sci-Fi",0.5047158137954162
48427,movie,Star Trek III: The Search for Spock,1984,105,"Action,Adventure,Sci-Fi",0.5044784806880581
266920,movie,Greenland,2020,119,"Action,Drama,Sci-Fi",0.5039331946574223
23753,movie,The Incredible Shrinking Man,1957,81,"Horror,Sci-Fi",0.5039300662681433
160421,movie,2012,2009,158,"Action,Adventure,Sci-Fi",0.5038316152070536
114278,movie,Resident Evil: Apocalypse,2004,94,"Action,Horror,Sci-Fi",0.5035893838115454
40308,movie,Logan's Run,1976,119,"Action,Adventure,Sci-Fi",0.5035074540014757
55461,movie,Predator 2,1990,108,"Action,Horror,Sci-Fi",0.502901778301835
131573,movie,Next,2007,96,"Action,Sci-Fi,Thriller",0.5023975053617583
48785,movie,Cocoon,1985,117,"Comedy,Drama,Sci-Fi",0.5011937716137972
54988,movie,Flatliners,1990,115,"Drama,Horror,Sci-Fi",0.5001496038113051
90693,movie,The Cell,2000,107,"Crime,Horror,Sci-Fi",0.49979496952122615
128235,movie,Cowboys & Aliens,2011,119,"Action,Sci-Fi,Thriller",0.4995717940732025
132112,movie,Slither,2006,95,"Comedy,Horror,Sci-Fi",0.49759785838664855
62340,movie,Memories,1995,113,"Animation,Sci-Fi,Thriller",0.49758764782399256
20958,movie,The War of the Worlds,1953,85,"Action,Sci-Fi,Thriller",0.4964992162411139
49158,movie,Mad Max Beyond Thunderdome,1985,107,"Action,Adventure,Sci-Fi",0.4960033187587392
205972,movie,Rampage,2018,107,"Action,Adventure,Sci-Fi",0.4958116806331395
237265,movie,Maze Runner: The Death Cure,2018,143,"Action,Adventure,Sci-Fi",0.4957829781947149
19283,movie,The Thing from Another World,1951,87,"Horror,Sci-Fi",0.49515263087249695
144120,movie,Frequently Asked Questions About Time Travel,2009,83,"Comedy,Sci-Fi",0.4947153180843951
44382,movie,Scanners,1981,103,"Horror,Sci-Fi,Thriller",0.4946486368215717
144005,movie,The Thing,2011,103,"Horror,Mystery,Sci-Fi",0.4945953666336975
117459,movie,Paycheck,2003,119,"Action,Mystery,Sci-Fi",0.49447760201237123
43481,movie,Star Trek: The Motion Picture,1979,132,"Adventure,Mystery,Sci-Fi",0.4939165880185138
150466,movie,Repo Men,2010,111,"Action,Sci-Fi,Thriller",0.4935251369982389
47580,movie,2010: The Year We Make Contact,1984,116,"Adventure,Mystery,Sci-Fi",0.49351686300438796
50608,movie,Short Circuit,1986,98,"Comedy,Family,Sci-Fi",0.49274036743773403
34925,movie,THX 1138,1971,86,"Drama,Sci-Fi,Thriller",0.492000532693439
167578,movie,Enthiran,2010,155,"Action,Sci-Fi,Thriller",0.4910375091979885
5258,movie,Dr. Jekyll and Mr. Hyde,1931,98,"Horror,Sci-Fi",0.49039988748747165
262016,movie,Venom: Let There Be Carnage,2021,97,"Action,Adventure,Sci-Fi",0.4885922995936737
99872,movie,Star Trek: Nemesis,2002,116,"Action,Adventure,Sci-Fi",0.4885209189165485
176931,movie,Battleship,2012,131,"Action,Adventure,Sci-Fi",0.48754581493494425
49397,movie,Real Genius,1985,108,"Comedy,Romance,Sci-Fi",0.487405211501336
86131,movie,Jin-Roh: The Wolf Brigade,1999,102,"Animation,Drama,Sci-Fi",0.48737822044088736
21665,movie,Them!,1954,94,"Horror,Sci-Fi",0.4872167381870454
65922,movie,Star Trek: Insurrection,1998,103,"Action,Adventure,Sci-Fi",0.4862770857644872
31329,movie,The Face of Another,1966,122,"Drama,Horror,Sci-Fi",0.4862322040738472
99217,movie,Evolution,2001,101,"Comedy,Sci-Fi",0.48574249863892116
41787,movie,The Boys from Brazil,1978,125,"Drama,Mystery,Sci-Fi",0.4850987329686542
179455,movie,Redline,2009,102,"Action,Animation,Sci-Fi",0.4848424530232105
43227,movie,Moonraker,1979,126,"Action,Adventure,Sci-Fi",0.48320887920092614
48049,movie,The Last Starfighter,1984,101,"Action,Adventure,Sci-Fi",0.4830784253539649
24538,movie,The Fly,1958,94,"Drama,Horror,Sci-Fi",0.4828315239602028
43658,movie,Altered States,1980,102,"Horror,Sci-Fi,Thriller",0.48194333412917634
129364,movie,Land of the Dead,2005,93,"Horror,Sci-Fi,Thriller",0.48167352007420294
48369,movie,Sexmission,1984,117,"Adventure,Comedy,Sci-Fi",0.4815353536821449
