Luogo,Criminalità,Assistenza Sanitaria,Inquinamento
Milan,37.03,68.91,31.55
Brescia,34.76,73.81,40.83
Genoa,28.93,69.23,62.50
Prato,48.33,,
Cagliari,35.72,61.67,45.00
Bolzano,,,
